,total_cup_points,species,country_of_origin,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,cupper_points,moisture,continent
432,83.25,Arabica,Mexico,7.75,7.75,7.42,7.92,7.33,7.5,10.0,10.0,10.0,7.58,0.12,North America
433,83.25,Arabica,Guatemala,7.83,7.58,7.08,7.83,7.42,8.08,10.0,10.0,10.0,7.42,0.11,North America
434,83.25,Arabica,Brazil,7.75,7.67,7.5,7.58,7.58,7.58,10.0,10.0,10.0,7.58,0.11,South America
435,83.25,Arabica,Colombia,7.67,7.58,7.58,7.42,7.83,7.58,10.0,10.0,10.0,7.58,0.12,South America
436,83.25,Arabica,Colombia,7.67,7.67,7.5,7.5,7.58,7.67,10.0,10.0,10.0,7.67,0.11,South America
437,83.25,Arabica,Colombia,7.92,7.75,7.25,7.42,7.83,7.58,10.0,10.0,10.0,7.5,0.08,South America
438,83.25,Arabica,Colombia,8.0,7.67,7.67,7.25,7.67,7.5,10.0,10.0,10.0,7.5,0.13,South America
439,83.25,Arabica,Colombia,7.92,7.75,7.5,7.42,7.42,7.67,10.0,10.0,10.0,7.58,0.04,South America
440,83.17,Arabica,Brazil,7.67,7.42,7.5,7.58,7.67,7.58,10.0,10.0,10.0,7.75,0.11,South America
441,83.17,Arabica,Guatemala,7.58,7.58,7.33,7.67,7.75,7.58,10.0,10.0,10.0,7.67,0.1,North America
442,83.17,Arabica,"Tanzania, United Republic Of",7.67,7.58,7.42,7.67,7.67,7.58,10.0,10.0,10.0,7.58,0.12,Africa
443,83.17,Arabica,Peru,7.92,7.5,7.5,7.58,7.67,7.5,10.0,10.0,10.0,7.5,0.11,South America
444,83.17,Arabica,Vietnam,7.58,7.42,7.08,7.33,7.58,8.58,10.0,10.0,10.0,7.58,0.07,Asia
445,83.17,Arabica,Guatemala,7.67,7.75,7.42,7.75,7.58,7.5,10.0,10.0,10.0,7.5,0.11,North America
446,83.17,Arabica,Honduras,7.67,7.67,7.5,7.67,7.5,7.67,10.0,10.0,10.0,7.5,0.11,North America
447,83.17,Arabica,China,7.5,7.67,7.33,7.67,7.67,7.67,10.0,10.0,10.0,7.67,0.11,Asia
448,83.17,Arabica,China,7.67,7.67,7.5,7.67,7.42,7.58,10.0,10.0,10.0,7.67,0.1,Asia
449,83.17,Arabica,El Salvador,7.5,7.5,7.33,7.67,8.0,7.67,10.0,10.0,10.0,7.5,0.0,North America
450,83.17,Arabica,Guatemala,7.5,7.75,7.5,7.83,7.58,7.5,10.0,10.0,10.0,7.5,0.11,North America
451,83.17,Arabica,Guatemala,7.92,7.67,7.42,7.75,7.5,7.5,10.0,10.0,10.0,7.42,0.12,North America
452,83.17,Arabica,Kenya,7.83,7.75,7.67,7.75,7.83,8.5,9.33,9.33,9.33,7.83,0.1,Africa
453,83.17,Arabica,Thailand,7.67,7.58,7.58,7.75,7.42,7.67,10.0,10.0,10.0,7.5,0.12,Asia
454,83.17,Arabica,"Tanzania, United Republic Of",7.58,7.67,7.67,7.58,7.42,7.58,10.0,10.0,10.0,7.67,0.13,Africa
455,83.17,Arabica,Colombia,7.58,7.5,7.5,7.67,7.5,7.67,10.0,10.0,10.0,7.75,0.0,South America
456,83.17,Arabica,Uganda,8.0,7.67,7.5,7.42,7.33,7.58,10.0,10.0,10.0,7.67,0.1,Africa
457,83.17,Arabica,Colombia,7.58,7.75,7.5,7.58,7.58,7.58,10.0,10.0,10.0,7.58,0.11,South America
458,83.17,Arabica,Honduras,7.5,7.5,7.5,7.67,7.67,7.67,10.0,10.0,10.0,7.67,0.1,North America
459,83.17,Arabica,Honduras,7.67,7.67,7.5,7.67,7.5,7.67,10.0,10.0,10.0,7.5,0.11,North America
460,83.17,Arabica,Guatemala,7.33,7.83,7.17,8.17,7.33,7.67,10.0,10.0,10.0,7.67,0.09,North America
461,83.17,Arabica,United States (Hawaii),7.5,7.5,7.58,7.42,7.92,7.67,10.0,10.0,10.0,7.58,0.11,North America
462,83.17,Arabica,"Tanzania, United Republic Of",7.58,7.5,7.58,7.75,7.58,7.58,10.0,10.0,10.0,7.58,0.12,Africa
463,83.17,Arabica,Guatemala,7.67,7.83,7.33,7.67,7.5,7.67,10.0,10.0,10.0,7.5,0.11,North America
464,83.17,Arabica,Mexico,7.75,7.58,7.58,7.58,7.5,7.42,10.0,10.0,10.0,7.75,0.11,North America
465,83.17,Arabica,Mexico,7.75,7.67,7.58,7.5,7.42,7.58,10.0,10.0,10.0,7.67,0.12,North America
466,83.17,Arabica,Mexico,7.58,7.75,7.42,7.67,7.5,7.58,10.0,10.0,10.0,7.67,0.14,North America
467,83.17,Arabica,Colombia,7.67,7.5,7.5,7.5,7.58,8.17,10.0,10.0,10.0,7.25,0.11,South America
468,83.17,Arabica,Mexico,7.75,7.5,7.42,7.75,7.58,7.58,10.0,10.0,10.0,7.58,0.13,North America
469,83.17,Arabica,Colombia,7.58,7.67,7.5,7.58,7.67,7.67,10.0,10.0,10.0,7.5,0.11,South America
470,83.17,Arabica,Mexico,7.5,7.75,7.58,7.58,7.67,7.5,10.0,10.0,10.0,7.58,0.11,North America
471,83.17,Arabica,Brazil,7.75,7.67,7.58,7.5,7.58,7.58,10.0,10.0,10.0,7.5,0.12,South America
472,83.17,Arabica,Brazil,7.92,7.58,7.5,7.58,7.42,7.5,10.0,10.0,10.0,7.67,0.11,South America
473,83.17,Arabica,Guatemala,7.75,7.5,7.67,7.5,7.92,8.0,10.0,10.0,9.33,7.5,0.0,North America
474,83.17,Arabica,Brazil,7.75,7.5,7.58,7.5,7.75,7.5,10.0,10.0,10.0,7.58,0.12,South America
475,83.17,Arabica,Brazil,7.58,7.75,7.67,7.5,7.67,7.58,10.0,10.0,10.0,7.42,0.02,South America
476,83.17,Arabica,El Salvador,7.42,7.83,8.17,8.08,7.17,7.58,10.0,9.33,10.0,7.58,0.14,North America
477,83.17,Arabica,Ethiopia,7.75,8.0,7.67,8.08,7.83,7.92,9.33,9.33,9.33,7.92,0.01,Africa
478,83.08,Arabica,Colombia,7.58,7.67,7.33,7.67,7.75,7.58,10.0,10.0,10.0,7.5,0.0,South America
479,83.08,Arabica,Colombia,7.75,7.5,7.5,7.42,8.0,7.75,10.0,10.0,10.0,7.17,0.0,South America
480,83.08,Arabica,Brazil,7.58,7.58,7.58,7.5,7.67,7.58,10.0,10.0,10.0,7.58,0.11,South America
481,83.08,Arabica,Brazil,7.33,7.67,7.67,7.33,7.75,7.42,10.0,10.0,10.0,7.92,0.0,South America
482,83.08,Arabica,Taiwan,7.83,7.92,7.5,7.83,7.67,7.25,9.33,10.0,10.0,7.75,0.0,Asia
483,83.08,Arabica,Brazil,7.42,7.67,7.58,7.5,7.75,7.67,10.0,10.0,10.0,7.5,0.11,South America
484,83.08,Arabica,Brazil,7.58,7.83,7.67,7.42,7.42,7.5,10.0,10.0,10.0,7.67,0.0,South America
485,83.08,Arabica,Costa Rica,7.83,7.33,7.5,7.67,7.58,7.67,10.0,10.0,10.0,7.5,0.1,North America
486,83.08,Arabica,United States (Hawaii),7.33,7.75,7.58,7.33,7.83,7.67,10.0,10.0,10.0,7.58,0.12,North America
487,83.08,Arabica,Taiwan,7.75,7.75,7.5,7.5,7.5,7.5,10.0,10.0,10.0,7.58,0.11,Asia
488,83.08,Arabica,United States (Hawaii),7.83,7.83,7.33,7.17,7.75,7.67,10.0,10.0,10.0,7.5,0.1,North America
489,83.08,Arabica,Mexico,7.75,7.67,7.42,7.75,7.5,7.5,10.0,10.0,10.0,7.5,0.1,North America
490,83.08,Arabica,United States (Hawaii),7.67,7.58,7.5,7.67,7.92,8.0,9.33,9.33,10.0,8.08,0.0,North America
491,83.08,Arabica,United States (Hawaii),7.33,7.58,7.58,7.92,7.67,7.58,10.0,10.0,10.0,7.42,0.12,North America
492,83.08,Arabica,Colombia,7.33,7.33,7.33,7.58,7.25,8.08,10.0,10.0,10.0,8.17,0.01,South America
493,83.08,Arabica,Colombia,7.83,7.75,7.33,7.25,7.42,7.92,10.0,10.0,10.0,7.58,0.08,South America
494,83.08,Arabica,Indonesia,7.67,7.58,7.5,7.58,7.67,7.58,10.0,10.0,10.0,7.5,0.0,Asia
495,83.08,Arabica,Guatemala,7.92,7.67,7.67,7.25,7.83,7.67,9.33,10.0,10.0,7.75,0.02,North America
496,83.0,Arabica,Brazil,7.58,7.5,7.5,7.75,7.67,7.5,10.0,10.0,10.0,7.5,0.0,South America
497,83.0,Arabica,Brazil,7.5,7.58,7.58,7.67,7.58,7.5,10.0,10.0,10.0,7.58,0.11,South America
498,83.0,Arabica,Brazil,7.5,7.67,7.58,7.67,7.58,7.42,10.0,10.0,10.0,7.58,0.11,South America
499,83.0,Arabica,Uganda,7.67,7.58,7.42,7.42,7.83,7.5,10.0,10.0,10.0,7.58,0.12,Africa
500,83.0,Arabica,Uganda,7.67,7.67,7.5,7.58,7.42,7.5,10.0,10.0,10.0,7.67,0.12,Africa
501,83.0,Arabica,Colombia,7.67,7.67,7.33,7.67,7.5,7.58,10.0,10.0,10.0,7.58,0.11,South America
502,83.0,Arabica,Vietnam,7.75,7.67,7.58,7.58,7.42,7.67,9.33,10.0,10.0,8.0,0.0,Asia
503,83.0,Arabica,Guatemala,7.67,7.75,7.33,7.92,7.42,7.5,10.0,10.0,10.0,7.42,0.11,North America
504,83.0,Arabica,Guatemala,7.75,7.67,7.33,7.75,7.5,7.42,10.0,10.0,10.0,7.58,0.11,North America
505,83.0,Arabica,Guatemala,7.83,7.67,7.25,7.67,7.75,7.5,10.0,10.0,10.0,7.33,0.11,North America
506,83.0,Arabica,Brazil,7.67,7.67,7.67,7.5,7.42,7.5,10.0,10.0,10.0,7.58,0.0,South America
507,83.0,Arabica,Taiwan,7.92,7.92,7.83,7.58,7.33,7.25,10.0,10.0,10.0,7.17,0.08,Asia
508,83.0,Arabica,Uganda,7.83,7.58,7.5,7.5,7.58,7.5,10.0,10.0,10.0,7.5,0.12,Africa
509,83.0,Arabica,United States (Puerto Rico),7.67,7.5,7.67,7.83,7.75,7.83,10.0,10.0,9.33,7.42,0.0,North America
510,83.0,Arabica,Guatemala,7.67,7.67,7.42,7.83,7.5,7.5,10.0,10.0,10.0,7.42,0.1,North America
511,83.0,Arabica,Costa Rica,7.67,7.58,7.5,7.58,7.5,7.5,10.0,10.0,10.0,7.67,0.11,North America
512,83.0,Arabica,Brazil,7.75,7.58,7.42,7.67,7.42,7.67,10.0,10.0,10.0,7.5,0.12,South America
513,83.0,Arabica,Colombia,7.75,7.42,7.33,7.5,7.58,7.17,10.0,10.0,10.0,8.25,0.11,South America
514,83.0,Arabica,Colombia,7.83,7.5,7.58,7.33,7.5,7.67,10.0,10.0,10.0,7.58,0.0,South America
515,83.0,Arabica,Colombia,7.33,7.67,7.75,7.42,7.75,7.58,10.0,10.0,10.0,7.5,0.11,South America
516,83.0,Arabica,Colombia,7.58,7.75,7.42,7.67,7.58,7.42,10.0,10.0,10.0,7.58,0.0,South America
517,83.0,Arabica,Colombia,7.5,7.5,7.42,7.58,7.75,7.58,10.0,10.0,10.0,7.67,0.11,South America
518,83.0,Arabica,Mexico,7.67,7.58,7.42,7.5,7.67,7.58,10.0,10.0,10.0,7.58,0.11,North America
519,83.0,Arabica,Mexico,7.67,7.83,7.5,7.58,7.58,7.67,9.33,10.0,10.0,7.83,0.11,North America
520,83.0,Arabica,Mexico,7.5,7.67,7.5,7.5,7.58,7.58,10.0,10.0,10.0,7.67,0.11,North America
521,83.0,Arabica,Colombia,7.67,7.58,7.5,7.5,7.75,7.5,10.0,10.0,10.0,7.5,0.0,South America
522,83.0,Arabica,Colombia,7.75,7.58,7.5,7.67,7.83,7.75,9.33,10.0,10.0,7.58,0.0,South America
523,83.0,Arabica,Colombia,7.67,7.58,7.58,7.58,7.67,7.42,10.0,10.0,10.0,7.5,0.11,South America
524,83.0,Arabica,Guatemala,7.5,7.67,7.5,7.67,7.5,7.83,10.0,10.0,10.0,7.33,0.1,North America
525,83.0,Arabica,Colombia,7.67,7.67,7.58,7.5,7.67,7.42,10.0,10.0,10.0,7.5,0.12,South America
526,83.0,Arabica,Thailand,7.33,7.67,7.58,7.5,7.75,7.67,10.0,10.0,10.0,7.5,0.28,Asia
527,83.0,Arabica,Colombia,7.33,7.67,7.58,7.33,7.58,7.92,10.0,10.0,10.0,7.58,0.08,South America
528,83.0,Arabica,United States (Hawaii),7.83,7.83,7.67,7.83,7.92,7.83,9.33,9.33,9.33,8.08,0.0,North America
529,83.0,Arabica,United States (Hawaii),7.5,7.58,7.42,7.58,7.58,7.67,10.0,10.0,10.0,7.67,0.0,North America
530,83.0,Arabica,Colombia,7.5,7.58,7.67,7.67,7.58,7.58,10.0,10.0,10.0,7.42,0.06,South America
531,83.0,Arabica,Nicaragua,7.58,7.83,7.75,7.92,7.92,8.08,9.33,9.33,9.33,7.92,0.07,North America
532,83.0,Arabica,Thailand,7.5,7.25,7.42,7.75,8.17,7.5,10.0,10.0,10.0,7.42,0.0,Asia
533,82.92,Arabica,Brazil,7.67,7.58,7.5,7.58,7.58,7.5,10.0,10.0,10.0,7.5,0.0,South America
534,82.92,Arabica,El Salvador,7.5,7.5,7.75,7.58,7.92,7.83,10.0,10.0,9.33,7.5,0.0,North America
535,82.92,Arabica,Colombia,7.58,7.67,7.5,7.33,7.67,7.58,10.0,10.0,10.0,7.58,0.11,South America
536,82.92,Arabica,Taiwan,7.17,7.83,7.25,7.67,7.67,7.58,10.0,10.0,10.0,7.75,0.09,Asia
537,82.92,Arabica,Ethiopia,7.58,7.58,7.5,7.5,7.58,7.58,10.0,10.0,10.0,7.58,0.0,Africa
538,82.92,Arabica,Taiwan,7.5,7.58,7.67,7.33,7.5,7.75,10.0,10.0,10.0,7.58,0.0,Asia
539,82.92,Arabica,Philippines,7.58,7.58,7.67,7.58,7.5,7.5,10.0,10.0,10.0,7.5,0.11,Asia
540,82.92,Arabica,Philippines,8.08,7.5,7.67,7.42,7.33,7.5,10.0,10.0,10.0,7.42,0.0,Asia
541,82.92,Arabica,Mexico,7.83,7.67,7.25,7.58,7.5,7.5,10.0,10.0,10.0,7.58,0.13,North America
542,82.92,Arabica,Mexico,7.75,7.67,7.42,7.42,7.75,7.5,10.0,10.0,10.0,7.42,0.12,North America
543,82.92,Arabica,Brazil,7.08,7.5,7.5,7.83,7.75,7.67,10.0,10.0,10.0,7.58,0.11,South America
544,82.92,Arabica,Uganda,8.0,7.5,7.5,7.58,7.33,7.42,10.0,10.0,10.0,7.58,0.12,Africa
545,82.92,Arabica,Uganda,7.75,7.58,7.58,7.5,7.5,7.5,10.0,10.0,10.0,7.5,0.12,Africa
546,82.92,Arabica,Guatemala,7.75,7.5,7.42,7.58,7.67,7.5,10.0,10.0,10.0,7.5,0.1,North America
547,82.92,Arabica,Guatemala,7.67,7.83,7.42,7.5,7.33,7.5,10.0,10.0,10.0,7.67,0.1,North America
548,82.92,Arabica,Guatemala,7.58,7.58,7.25,7.58,7.58,7.58,10.0,10.0,10.0,7.75,0.1,North America
549,82.92,Arabica,Colombia,7.58,7.5,7.75,7.33,7.58,7.58,10.0,10.0,10.0,7.58,0.11,South America
550,82.92,Arabica,Colombia,7.75,7.5,7.25,7.5,7.75,7.5,10.0,10.0,10.0,7.67,0.0,South America
551,82.92,Arabica,Guatemala,7.83,7.75,7.25,7.92,7.5,7.17,10.0,10.0,10.0,7.5,0.11,North America
552,82.92,Arabica,Colombia,7.83,7.67,7.42,7.42,7.5,7.58,10.0,10.0,10.0,7.5,0.11,South America
553,82.92,Arabica,Mexico,7.58,7.58,7.33,7.25,7.58,7.75,10.0,10.0,10.0,7.83,0.1,North America
554,82.92,Arabica,Vietnam,7.67,7.33,7.17,7.58,8.08,7.42,10.0,10.0,10.0,7.67,0.0,Asia
555,82.92,Arabica,Mexico,8.0,7.92,7.67,7.17,7.67,7.42,9.33,10.0,10.0,7.75,0.14,North America
556,82.92,Arabica,United States (Hawaii),7.5,7.5,7.5,7.42,7.67,7.83,10.0,10.0,10.0,7.5,0.1,North America
557,82.92,Arabica,Colombia,7.5,7.75,7.33,7.75,7.08,7.83,10.0,10.0,10.0,7.67,0.15,South America
558,82.92,Arabica,Thailand,7.42,7.58,7.5,7.17,7.5,8.0,10.0,10.0,10.0,7.75,0.0,Asia
559,82.83,Arabica,Kenya,7.75,7.58,7.42,7.58,7.5,7.5,10.0,10.0,10.0,7.5,0.1,Africa
560,82.83,Arabica,Guatemala,7.5,7.58,7.33,7.67,7.58,7.58,10.0,10.0,10.0,7.58,0.11,North America
561,82.83,Arabica,Brazil,7.67,7.58,7.58,7.5,7.5,7.42,10.0,10.0,10.0,7.58,0.11,South America
562,82.83,Arabica,El Salvador,7.33,7.67,7.67,7.83,7.33,7.67,10.0,10.0,10.0,7.33,0.0,North America
563,82.83,Arabica,Rwanda,7.83,7.92,7.75,7.83,7.75,7.75,9.33,9.33,9.33,8.0,0.11,Africa
564,82.83,Arabica,Vietnam,7.25,7.58,7.5,7.42,7.75,7.42,10.0,10.0,10.0,7.92,0.11,Asia
565,82.83,Arabica,Guatemala,7.58,7.58,7.33,7.67,7.67,7.5,10.0,10.0,10.0,7.5,0.11,North America
566,82.83,Arabica,Brazil,7.58,7.83,7.33,7.67,7.42,7.33,10.0,10.0,10.0,7.67,0.12,South America
567,82.83,Arabica,Colombia,7.83,7.67,7.5,7.58,7.5,7.67,10.0,10.0,10.0,7.08,0.0,South America
568,82.83,Arabica,United States,7.42,7.58,7.25,7.5,7.75,7.75,10.0,10.0,10.0,7.58,0.0,North America
569,82.83,Arabica,Guatemala,7.67,7.67,7.75,7.67,7.42,7.17,10.0,10.0,10.0,7.5,0.1,North America
570,82.83,Arabica,Colombia,7.5,7.42,7.58,7.5,7.58,7.58,10.0,10.0,10.0,7.67,0.0,South America
571,82.83,Arabica,Colombia,7.83,7.5,7.5,7.42,7.5,7.5,10.0,10.0,10.0,7.58,0.11,South America
572,82.83,Arabica,"Tanzania, United Republic Of",7.67,7.5,7.33,7.25,7.58,7.75,10.0,10.0,10.0,7.75,0.11,Africa
573,82.83,Arabica,Mexico,7.58,7.67,7.5,7.58,7.5,7.5,10.0,10.0,10.0,7.5,0.12,North America
574,82.83,Arabica,Mexico,7.67,7.58,7.42,7.75,7.42,7.42,10.0,10.0,10.0,7.58,0.12,North America
575,82.83,Arabica,Guatemala,7.67,7.67,7.33,7.5,7.33,7.92,10.0,10.0,10.0,7.42,0.11,North America
576,82.83,Arabica,Mexico,7.58,7.58,7.5,7.42,7.67,7.58,10.0,10.0,10.0,7.5,0.11,North America
577,82.83,Arabica,El Salvador,7.75,7.58,7.75,7.75,7.25,7.5,10.0,10.0,10.0,7.25,0.0,North America
578,82.75,Arabica,Guatemala,7.5,7.58,7.42,7.67,7.58,7.5,10.0,10.0,10.0,7.5,0.1,North America
579,82.75,Arabica,Guatemala,7.58,7.67,7.5,7.58,7.5,7.42,10.0,10.0,10.0,7.5,0.11,North America
580,82.75,Arabica,Guatemala,7.5,7.67,7.17,7.67,7.67,7.58,10.0,10.0,10.0,7.5,0.11,North America
581,82.75,Arabica,Guatemala,7.5,7.5,7.42,7.58,7.67,7.5,10.0,10.0,10.0,7.58,0.1,North America
582,82.75,Arabica,Guatemala,7.42,7.58,7.42,7.67,7.5,7.5,10.0,10.0,10.0,7.67,0.1,North America
583,82.75,Arabica,Indonesia,7.5,7.58,7.42,7.58,7.58,7.5,10.0,10.0,10.0,7.58,0.12,Asia
584,82.75,Arabica,Guatemala,7.58,7.58,7.33,7.58,7.33,7.67,10.0,10.0,10.0,7.67,0.12,North America
585,82.75,Arabica,Taiwan,7.83,7.67,7.33,7.67,7.58,7.67,9.33,10.0,10.0,7.67,0.0,Asia
586,82.75,Arabica,El Salvador,7.67,7.67,7.17,7.33,7.58,7.67,10.0,10.0,10.0,7.67,0.0,North America
587,82.75,Arabica,Costa Rica,7.58,7.5,7.42,7.67,7.42,7.5,10.0,10.0,10.0,7.67,0.09,North America
588,82.75,Arabica,Honduras,7.58,7.5,7.42,7.58,7.5,7.5,10.0,10.0,10.0,7.67,0.09,North America
589,82.75,Arabica,Brazil,7.5,7.5,7.58,7.5,7.58,7.58,10.0,10.0,10.0,7.5,0.11,South America
590,82.75,Arabica,China,7.67,7.5,7.33,7.33,7.67,7.67,10.0,10.0,10.0,7.58,0.1,Asia
591,82.75,Arabica,China,7.5,7.67,7.42,7.67,7.5,7.5,10.0,10.0,10.0,7.5,0.11,Asia
592,82.75,Arabica,Colombia,7.5,7.58,7.58,7.75,7.33,7.5,10.0,10.0,10.0,7.5,0.0,South America
593,82.75,Arabica,Malawi,7.75,7.58,7.42,7.5,7.33,7.5,10.0,10.0,10.0,7.67,0.12,Africa
594,82.75,Arabica,Guatemala,7.75,7.42,7.25,7.75,7.5,7.67,10.0,10.0,10.0,7.42,0.13,North America
595,82.75,Arabica,Colombia,7.67,7.42,7.42,7.58,7.33,7.67,10.0,10.0,10.0,7.67,0.12,South America
596,82.75,Arabica,United States (Hawaii),7.67,7.58,7.42,7.83,7.33,7.5,10.0,10.0,10.0,7.42,0.1,North America
597,82.75,Arabica,United States (Hawaii),7.58,7.83,7.75,7.75,7.42,8.0,9.33,9.33,10.0,7.75,0.1,North America
598,82.75,Arabica,Colombia,7.58,7.33,7.17,7.33,7.25,8.58,10.0,10.0,10.0,7.5,0.1,South America
599,82.75,Arabica,Mexico,7.58,7.58,7.5,7.5,7.5,7.5,10.0,10.0,10.0,7.58,0.12,North America
600,82.75,Arabica,Mexico,7.58,7.58,7.33,7.75,7.25,7.58,10.0,10.0,10.0,7.67,0.12,North America
601,82.75,Arabica,Mexico,8.08,8.17,8.0,8.0,7.83,7.92,6.67,10.0,10.0,8.08,0.12,North America
602,82.75,Arabica,Colombia,7.5,7.58,7.42,7.67,7.5,7.58,10.0,10.0,10.0,7.5,0.0,South America
603,82.75,Arabica,Colombia,7.67,7.58,7.58,7.58,7.5,7.42,10.0,10.0,10.0,7.42,0.11,South America
604,82.75,Arabica,United States (Hawaii),7.25,7.75,7.5,7.83,7.67,7.67,9.33,10.0,10.0,7.75,0.12,North America
605,82.75,Arabica,Panama,7.42,7.42,7.5,7.58,7.5,7.75,10.0,10.0,10.0,7.58,0.0,North America
606,82.75,Arabica,United States (Hawaii),7.75,7.67,7.5,7.83,7.17,7.42,10.0,10.0,10.0,7.42,0.0,North America
607,82.67,Arabica,Brazil,7.5,7.58,7.25,7.75,7.58,7.5,10.0,10.0,10.0,7.5,0.0,South America
608,82.67,Arabica,Brazil,7.5,7.58,7.5,7.67,7.5,7.42,10.0,10.0,10.0,7.5,0.11,South America
609,82.67,Arabica,Laos,7.67,7.67,7.42,7.42,7.42,7.5,10.0,10.0,10.0,7.58,0.13,Asia
610,82.67,Arabica,El Salvador,7.67,7.67,7.67,7.67,7.5,7.67,10.0,10.0,9.33,7.5,0.0,North America
611,82.67,Arabica,Mexico,7.5,7.67,7.42,7.75,7.42,7.17,10.0,10.0,10.0,7.75,0.11,North America
612,82.67,Arabica,Colombia,7.75,7.5,7.33,7.58,7.33,7.75,10.0,10.0,10.0,7.42,0.0,South America
613,82.67,Arabica,Brazil,7.58,7.5,7.42,7.67,7.5,7.5,10.0,10.0,10.0,7.5,0.0,South America
614,82.67,Arabica,Brazil,7.33,7.5,7.58,7.58,7.67,7.5,10.0,10.0,10.0,7.5,0.12,South America
615,82.67,Arabica,"Tanzania, United Republic Of",7.5,7.5,7.5,7.5,7.5,7.58,10.0,10.0,10.0,7.58,0.12,Africa
616,82.67,Arabica,"Tanzania, United Republic Of",7.58,7.5,7.5,7.58,7.33,7.58,10.0,10.0,10.0,7.58,0.12,Africa
617,82.67,Arabica,Taiwan,8.0,7.83,7.83,7.42,7.25,7.25,10.0,10.0,10.0,7.08,0.08,Asia
618,82.67,Arabica,Mexico,7.67,7.58,7.42,7.5,7.42,7.5,10.0,10.0,10.0,7.58,0.11,North America
619,82.67,Arabica,Uganda,7.67,7.5,7.33,7.67,7.5,7.5,10.0,10.0,10.0,7.5,0.12,Africa
620,82.67,Arabica,Taiwan,7.67,7.5,7.5,7.5,7.5,7.5,10.0,10.0,10.0,7.5,0.11,Asia
621,82.67,Arabica,Thailand,7.42,7.5,7.5,7.67,7.58,7.5,10.0,10.0,10.0,7.5,0.11,Asia
622,82.67,Arabica,Colombia,7.75,7.58,7.67,7.25,7.58,7.42,10.0,10.0,10.0,7.42,0.11,South America
623,82.67,Arabica,El Salvador,7.92,8.0,7.5,6.75,7.92,7.58,10.0,10.0,9.33,7.67,0.0,North America
624,82.67,Arabica,Guatemala,7.67,7.67,7.17,7.67,7.5,7.5,10.0,10.0,10.0,7.5,0.11,North America
625,82.67,Arabica,Thailand,7.83,7.33,7.83,7.33,7.58,7.83,10.0,10.0,9.33,7.58,0.12,Asia
626,82.67,Arabica,Mexico,7.58,7.58,7.42,7.58,7.42,7.5,10.0,10.0,10.0,7.58,0.11,North America
627,82.67,Arabica,Mexico,7.5,7.58,7.58,7.58,7.42,7.42,10.0,10.0,10.0,7.58,0.12,North America
628,82.67,Arabica,Colombia,7.33,7.58,7.42,7.42,7.67,7.67,10.0,10.0,10.0,7.58,0.11,South America
629,82.67,Arabica,United States (Hawaii),7.83,7.67,7.5,7.67,7.5,7.58,10.0,10.0,9.33,7.58,0.03,North America
630,82.67,Arabica,Mexico,7.75,7.58,7.25,7.75,7.67,7.58,10.0,10.0,10.0,7.08,0.0,North America
631,82.67,Arabica,Colombia,8.08,7.67,7.67,7.33,7.33,7.17,10.0,10.0,10.0,7.42,0.08,South America
632,82.67,Arabica,Colombia,7.5,7.42,7.33,7.33,7.67,7.83,10.0,10.0,10.0,7.58,0.21,South America
633,82.58,Arabica,Guatemala,7.5,7.42,7.42,7.75,7.5,7.5,10.0,10.0,10.0,7.5,0.1,North America
634,82.58,Arabica,Taiwan,7.67,7.42,7.5,7.42,7.58,7.5,10.0,10.0,10.0,7.5,0.11,Asia
635,82.58,Arabica,Brazil,7.5,7.58,7.42,7.5,7.75,7.33,10.0,10.0,10.0,7.5,0.11,South America
636,82.58,Arabica,Taiwan,7.25,7.25,7.0,7.08,7.0,7.0,10.0,10.0,10.0,10.0,0.11,Asia
637,82.58,Arabica,Brazil,7.42,7.42,7.5,7.33,7.25,7.67,10.0,10.0,10.0,8.0,0.0,South America
638,82.58,Arabica,Indonesia,7.83,7.58,7.42,7.33,7.42,7.5,10.0,10.0,10.0,7.5,0.13,Asia
639,82.58,Arabica,Thailand,7.75,7.33,7.42,7.67,7.42,7.5,10.0,10.0,10.0,7.5,0.12,Asia
640,82.58,Arabica,Thailand,7.42,7.58,7.58,7.42,7.58,7.5,10.0,10.0,10.0,7.5,0.12,Asia
641,82.58,Arabica,"Tanzania, United Republic Of",7.75,7.42,7.33,7.5,7.58,7.5,10.0,10.0,10.0,7.5,0.12,Africa
642,82.58,Arabica,Uganda,7.83,7.5,7.42,7.58,7.42,7.42,10.0,10.0,10.0,7.42,0.12,Africa
643,82.58,Arabica,Costa Rica,7.67,7.42,7.5,7.67,7.0,7.75,10.0,10.0,10.0,7.58,0.11,North America
644,82.58,Arabica,Mexico,7.58,7.58,7.42,7.75,7.67,7.67,9.33,10.0,10.0,7.58,0.0,North America
645,82.58,Arabica,Guatemala,7.5,7.58,7.42,7.58,7.42,7.58,10.0,10.0,10.0,7.5,0.0,North America
646,82.58,Arabica,Colombia,7.75,7.25,7.33,7.42,7.5,7.83,10.0,10.0,10.0,7.5,0.11,South America
647,82.58,Arabica,Colombia,7.75,7.5,7.75,7.25,7.33,7.58,10.0,10.0,10.0,7.42,0.11,South America
648,82.58,Arabica,Colombia,7.58,7.5,7.42,7.58,7.67,7.42,10.0,10.0,10.0,7.42,0.11,South America
